Genotype	Deletions	Plant	LeafLength	Nod	PinkNod	GreenNod
HM340	0gene	1	11.47	2.122	1.065	0.742
HM340	0gene	1	32.547	0.692	0.182	0.458
HM340	0gene	1	20.209	0.676	0.685	0.197
HM340	0gene	1	31.63	1.455	0.926	0.608
HM340	0gene	1	52.452	1.233	0.851	0
HM340	0gene	1	43.292	0.943	0.647	0
HM340	0gene	1	NA	0.714	0.686	0
HM340	0gene	1	NA	0.95	0.454	0
HM340	0gene	1	NA	0.74	0.031	0
HM340	0gene	1	NA	0.538	0.66	0
HM340	0gene	1	NA	0.838	0.847	0
HM340	0gene	1	NA	0.984	1.374	0
HM340	0gene	1	NA	0.262	0.631	0
HM340	0gene	1	NA	1.635	0.861	0
HM340	0gene	1	NA	0.812	0	0
HM340	0gene	1	NA	1.049	0	0
HM340	0gene	2	6.916	0.983	0.758	0
HM340	0gene	2	14.373	0.992	0.379	0
HM340	0gene	2	19.487	0.587	0.212	0
HM340	0gene	2	30.83	0.796	0.49	0
HM340	0gene	2	NA	0.767	0.498	0
HM340	0gene	3	16.445	1.484	1.132	0.239
HM340	0gene	3	25.868	0.821	0.696	0.888
HM340	0gene	3	42.141	0.373	0.229	0.629
HM340	0gene	3	45.604	1.229	0.247	0.209
HM340	0gene	3	35.748	0.566	0.535	0
HM340	0gene	3	NA	1.456	1.107	0
HM340	0gene	3	NA	1.057	0.968	0
HM340	0gene	3	NA	0.938	0.803	0
HM340	0gene	3	NA	0.9	0.946	0
HM340	0gene	3	NA	1.705	0.198	0
HM340	0gene	3	NA	1.105	1.226	0
HM340	0gene	3	NA	0.972	0.348	0
HM340	0gene	3	NA	0.743	0.535	0
HM340	0gene	3	NA	0.263	1.216	0
HM340	0gene	3	NA	1.504	1.185	0
HM340	0gene	3	NA	1.334	0.241	0
HM340	0gene	3	NA	0.653	0.17	0
HM340	0gene	3	NA	0.579	0.038	0
HM340	0gene	3	NA	0.394	0.525	0
HM340	0gene	3	NA	0.736	0	0
HM340	0gene	4	10.364	1.017	0.125	0.493
HM340	0gene	4	23.193	1.717	1.172	0
HM340	0gene	4	26.388	1.894	0.869	0
HM340	0gene	4	36.622	1.029	0.412	0
HM340	0gene	4	52.098	1.02	0.788	0
HM340	0gene	4	48.439	1.846	1.427	0
HM340	0gene	4	NA	1.505	1.175	0
HM340	0gene	4	NA	1.83	1.339	0
HM340	0gene	4	NA	1.609	1.15	0
HM340	0gene	4	NA	1.351	1.112	0
HM340	0gene	4	NA	1.39	1.088	0
HM340	0gene	4	NA	0.312	0	0
HM340	0gene	5	16.604	1.857	3.136	0.603
HM340	0gene	5	27.969	1.109	1.09	0.819
HM340	0gene	5	10.296	4.406	0.678	0.333
HM340	0gene	5	25.003	4.565	3.596	0.409
HM340	0gene	5	33.883	0.349	6.206	0.276
HM340	0gene	5	32.271	8.231	0.894	0.078
HM340	0gene	5	27.349	0.821	0.53	0.286
HM340	0gene	5	25.447	1.105	0.735	0
HM340	0gene	5	52.996	1.005	0.271	0
HM340	0gene	5	50.736	0.605	1.072	0
HM340	0gene	5	42.164	0.479	0.641	0
HM340	0gene	5	50.579	1.372	0.522	0
HM340	0gene	5	53.797	0.785	0.411	0
HM340	0gene	5	NA	0.705	0.776	0
HM340	0gene	5	NA	0.66	0.339	0
HM340	0gene	5	NA	1.016	1.481	0
HM340	0gene	5	NA	0.549	1.354	0
HM340	0gene	5	NA	1.934	1.421	0
HM340	0gene	5	NA	1.564	0.761	0
HM340	0gene	5	NA	1.602	0.343	0
HM340	0gene	5	NA	0.386	0.67	0
HM340	0gene	5	NA	1.086	0	0
HM340	0gene	5	NA	0.943	0	0
HM340	0gene	6	14.154	2.36	1.288	0.742
HM340	0gene	6	32.776	1.088	0.339	0.46
HM340	0gene	6	12.93	1.056	1.237	0.861
HM340	0gene	6	32.107	2.272	0.055	0.511
HM340	0gene	6	33.321	2.131	2.002	0.46
HM340	0gene	6	52.787	0.778	0.183	0
HM340	0gene	6	61.028	0.466	0.643	0
HM340	0gene	6	64.895	0.825	1.753	0
