Genotype	Deletions	Plant	LeafNum	Leaftot	LeafLengthAvg	Height	NodNum	NodTot	NodAvg	NodMax	PinkNum	PinkTot	PinkAvg	PinkMax	PinkNodRatio	GreenNum	GreenTot	GreenAvg	GreenMax
Gm12.7	2gene	1	6	175.523	29.25383	49.363	15	24.298	1.6198667	3.894	13	17.313	1.1542	3.612	0.7125277801	3	1.704	0.1136	1.02
Gm12.7	2gene	2	6	200.132	33.35533	44.349	20	22.846	1.1423	2.165	15	15.208	0.7604	1.807	0.6656745163	3	1.914	0.0957	1.05
Gm12.7	2gene	3	5	191.096	38.2192	55.637	8	12.546	1.56825	2.638	7	9.023	1.127875	1.963	0.7191933684	0	0	0	0
Gm12.7	2gene	4	5	147.877	29.5754	43.217	8	11.979	1.497375	2.12	7	8.072	1.009	1.763	0.673845897	0	0	0	0
Gm12.7	2gene	5	4	83.232	20.808	28.878	10	8.043	0.8043	2.166	4	5.011	0.5011	1.808	0.623026234	1	0.587	0.0587	0.587
Gm12.7	2gene	6	7	236.214	33.74486	56.852	17	20.597	1.2115882	2.722	15	14.75	0.867647059	2.193	0.7161237073	3	0.874	0.05141176	0.519
Gm12.7	2gene	7	6	196.208	32.70133	48.433	24	27.594	1.14975	2.676	16	19.161	0.798375	2.285	0.6943900848	4	2.704	0.11266667	1.026
Gm12.7	2gene	8	6	172.349	28.72483	41.915	18	21.489	1.1938333	1.968	15	16.173	0.8985	1.692	0.7526176183	2	1.964	0.10911111	1.114
Gm12.7	2gene	9	6	168.567	28.0945	50.325	7	9.526	1.3608571	2.046	6	6.99	0.998571429	1.529	0.7337812303	0	0	0	0
Gm12.7	2gene	10	4	88.135	22.03375	32.068	6	7.328	1.2213333	2.208	6	5.851	0.975166667	1.504	0.7984443231	2	0.409	0.06816667	0.209
Gm12.7	2gene	11	6	160.691	26.78183	40.66	12	12.442	1.0368333	2.011	11	8.097	0.67475	1.591	0.6507796174	4	0.732	0.061	0.261
Gm12.7	2gene	12	5	166.318	33.2636	46.402	9	14.13	1.57	3.698	7	10.071	1.119	2.724	0.7127388535	1	0.666	0.074	0.666
Gm12.7	2gene	13	5	116.506	23.3012	36.105	4	6.048	1.512	2.271	2	2.75	0.6875	1.806	0.4546957672	2	1.59	0.3975	1.034
Gm12.7	2gene	14	4	68.435	17.10875	24.17	7	5.067	0.7238571	1.606	6	3.343	0.477571429	1.229	0.6597592264	0	0	0	0
Gm12.7	2gene	15	5	158.022	31.6044	45.768	8	11.134	1.39175	2.181	8	7.973	0.996625	1.397	0.7160948446	2	0.829	0.103625	0.535
Gm12.7	2gene	16	5	150.972	30.1944	43.707	10	11.709	1.1709	1.83	8	7.062	0.7062	1.48	0.6031258007	1	1.028	0.1028	1.028
Gm12.7	2gene	17	6	165.198	27.533	43.765	9	13.776	1.5306667	2.002	9	9.029	1.003222222	1.619	0.6554152149	1	1.366	0.15177778	1.366
Gm12.7	2gene	18	5	161.925	32.385	45.937	10	14.824	1.4824	3.056	10	11.538	1.1538	2.121	0.7783324339	1	0.248	0.0248	0.248
Gm12.7	2gene	19	6	191.216	31.86933	48.145	11	16.629	1.5117273	2.235	11	11.829	1.075363636	1.613	0.7113476457	2	1.388	0.12618182	0.805
Gm12.7	2gene	20	5	129.202	25.8404	39.175	8	12.041	1.505125	2.503	8	8.132	1.0165	1.405	0.6753591894	3	1.578	0.19725	0.639
Gm12.7	2gene	21	6	160.24	26.70667	41.591	11	14.059	1.2780909	3.45	8	10.477	0.952454545	3.108	0.7452165872	0	0	0	0
Gm12.7	2gene	22	5	130.687	26.1374	40.432	13	14.676	1.1289231	2.433	11	9.362	0.720153846	1.376	0.6379122377	3	1.355	0.10423077	0.474
Gm12.7	2gene	23	5	84.52	16.904	26.967	11	7.287	0.6624545	1.524	8	3.259	0.296272727	0.963	0.4472348017	0	0	0	0
Gm12.7	2gene	24	5	136.532	27.3064	39.789	15	15.862	1.0574667	1.931	12	9.485	0.632333333	1.313	0.5979699912	5	1.688	0.11253333	1.137
Gm12.7	2gene	25	6	159.412	26.56867	47.825	10	15.821	1.5821	2.289	9	11.096	1.1096	1.872	0.7013463119	1	1.514	0.1514	1.514
Gm12.7	2gene	26	4	88.82	22.205	35.039	9	8.533	0.9481111	1.952	5	5.299	0.588777778	1.296	0.6210008203	3	0.767	0.08522222	0.421
Gm12.7	2gene	27	2	45.372	22.686	24.345	47	14.274	0.3037021	0.533	2	0.345	0.007340426	0.278	0.0241698193	0	0	0	0
Gm12.7	2gene	28	5	148.951	29.7902	43.308	11	11.884	1.0803636	2.181	10	7.825	0.711363636	1.304	0.6584483339	4	0.876	0.07963636	0.353
Gm12.7	2gene	29	6	206.61	34.435	54.65	16	14.894	0.930875	1.881	13	9.078	0.567375	1.143	0.6095071841	3	1.964	0.12275	1.19
Gm12.7	2gene	30	5	130.229	26.0458	39.361	8	8.436	1.0545	1.735	5	4.066	0.50825	1.282	0.481981982	3	1.277	0.159625	0.684
Gm12.7	2gene	31	6	184.622	30.77033	51.845	11	13.089	1.1899091	2.151	10	8.749	0.795363636	1.839	0.6684238674	3	2.189	0.199	0.936
Gm12.7	2gene	32	4	64.578	16.1445	23.41	2	3.892	1.946	2.123	2	2.602	1.301	1.522	0.6685508736	1	0.618	0.309	0.618
Gm20.2	4gene	1	3	62.514	20.838	28.004	35	13.207	0.3773429	0.698	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	2	4	82.455	20.61375	30.886	34	11.272	0.3315294	0.617	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	3	2	24.624	12.312	13.071	15	5.556	0.3704	0.71	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	4	4	72.663	18.16575	31.851	50	16.67	0.3334	0.708	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	5	7	273.037	39.00529	64.361	55	30.119	0.5476182	2.687	15	11.821	0.214927273	1.827	0.3924765098	0	0	0	0
Gm20.2	4gene	6	3	51.909	17.303	22.652	49	19.043	0.3886327	1.116	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	7	3	45.388	15.12933	23.006	45	12.201	0.2711333	0.676	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	8	5	137.385	27.477	34.924	63	23.315	0.3700794	1.475	7	3.248	0.051555556	0.985	0.1393094574	0	0	0	0
Gm20.2	4gene	9	4	62.559	15.63975	28.246	35	11.546	0.3298857	0.696	4	0.825	0.023571429	0.254	0.0714533172	0	0	0	0
Gm20.2	4gene	10	2	38.496	19.248	24.867	30	8.662	0.2887333	0.479	4	0	0	0	0	0	0	0	0
Gm20.2	4gene	11	4	82.765	20.69125	29.31	64	13.866	0.2166562	0.579	2	0	0	0	0	0	0	0	0
Gm20.2	4gene	12	2	26.692	13.346	14.649	34	10.472	0.308	0.485	14	0	0	0	0	0	0	0	0
Gm20.2	4gene	13	3	73.786	24.59533	27.738	50	14.659	0.29318	0.799	25	0	0	0	0	0	0	0	0
Gm20.2	4gene	14	2	34.934	17.467	21.388	35	9.682	0.2766286	0.662	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	15	3	30.217	10.07233	14.703	12	4.704	0.392	0.718	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	16	3	45.819	15.273	23.555	38	8.473	0.2229737	0.497	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	17	3	56.728	18.90933	26.239	22	8.168	0.3712727	0.598	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	18	2	46.785	23.3925	25.874	32	10.715	0.3348437	0.524	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	19	3	60.598	20.19933	27.201	24	7.873	0.3280417	0.598	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	20	2	39.801	19.9005	28.263	26	9.76	0.3753846	0.982	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	21	2	44.189	22.0945	26.115	44	15.218	0.3458636	0.702	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	22	2	44.938	22.469	24.779	46	14.205	0.3088043	0.666	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	23	2	42.34	21.17	21.338	33	11.233	0.3403939	0.657	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	24	3	72.67	24.22333	31.42	45	15.365	0.3414444	0.754	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	25	3	64.918	21.63933	30.159	34	11.584	0.3407059	0.826	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	26	4	85.345	21.33625	29.534	29	8.648	0.2982069	0.54	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	27	2	28.625	14.3125	22.53	9	3.611	0.4012222	0.538	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	28	4	99.419	24.85475	27.239	63	20.671	0.3281111	1.106	4	1.705	0.027063492	0.637	0.0824827052	0	0	0	0
Gm20.2	4gene	29	4	100.695	25.17375	34.496	20	8.269	0.41345	1.94	2	1.709	0.08545	1.572	0.2066755351	0	0	0	0
Gm20.2	4gene	30	3	31.881	10.627	16.19	21	8.286	0.3945714	0.86	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	31	2	50.195	25.0975	28.187	42	12.05	0.2869048	0.674	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	32	3	62.441	20.81367	27.924	27	10.271	0.3804074	0.657	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	33	3	35.233	11.74433	14.025	7	3.253	0.4647143	0.738	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	34	1	16.114	16.114	16.114	23	7.811	0.3396087	0.645	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	35	3	40.785	13.595	21.506	15	5.898	0.3932	0.677	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	36	3	55.687	18.56233	19.505	35	12.158	0.3473714	0.672	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	37	7	260.186	37.16943	52.364	48	29.467	0.6138958	2.726	14	14.477	0.301604167	4.152	0.4912953473	0	0	0	0
Gm20.2	4gene	38	8	316.492	39.5615	62.434	72	45.177	0.6274583	2.952	25	17.62	0.244722222	2.227	0.3900214711	0	0	0	0
Gm20.2	4gene	39	3	41.781	13.927	17.438	11	5.43	0.4936364	0.756	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	40	4	57.09	14.2725	21.875	19	5.513	0.2901579	0.67	0	0	0	0	0	0	0	0	0
Gm20.2	4gene	41	3	54.561	18.187	23.914	33	10.822	0.3279394	0.688	0	0	0	0	0	0	0	0	0
Gm26.4	3gene1	1	6	183.617	30.60283	50.168	26	10.988	0.4226154	1.109	6	2	0.076923077	0.564	0.1820167455	0	0	0	0
Gm26.4	3gene1	2	4	68.949	17.23725	22.858	31	10.551	0.3403548	0.803	6	1.483	0.04783871	0.41	0.1405553976	0	0	0	0
Gm26.4	3gene1	3	6	199.942	33.32367	49.033	48	27.963	0.5825625	3.485	32	15.26	0.317916667	2.766	0.5457211315	2	0.662	0.01379167	0.402
Gm26.4	3gene1	4	4	59.428	14.857	20.543	21	7.161	0.341	1.034	0	0	0	0	0	0	0	0	0
Gm26.4	3gene1	5	6	159.707	26.61783	43.148	25	14.07	0.5628	1.552	12	7.019	0.28076	0.949	0.4988628287	2	0.434	0.01736	0.267
Gm26.4	3gene1	6	3	65.976	21.992	27.072	36	10.265	0.2851389	0.559	2	0.44	0.012222222	0.291	0.0428641013	0	0	0	0
Gm26.4	3gene1	7	5	143.131	28.6262	41.434	21	13.961	0.6648095	2.376	13	7.109	0.33852381	1.771	0.5092042117	0	0	0	0
Gm26.4	3gene1	8	5	89.884	17.9768	28.438	38	13.215	0.3477632	1.365	4	1.549	0.040763158	0.791	0.1172152857	0	0	0	0
Gm26.4	3gene1	9	5	139.757	27.9514	42.682	20	10.977	0.54885	1.144	3	1.213	0.06065	0.497	0.1105037806	0	0	0	0
Gm26.4	3gene1	10	4	82.29	20.5725	30.168	11	5.738	0.5216364	0.922	2	1.08	0.098181818	0.55	0.1882188916	0	0	0	0
Gm26.4	3gene1	11	3	42.787	14.26233	20.578	19	7.716	0.4061053	0.792	3	1.633	0.085947368	0.661	0.2116381545	0	0	0	0
Gm26.4	3gene1	12	5	115.999	23.1998	34.024	17	6.629	0.3899412	1.137	3	1.511	0.088882353	0.72	0.2279378488	0	0	0	0
Gm26.4	3gene1	13	4	93.642	23.4105	30.04	24	7.801	0.3250417	0.801	2	0.97	0.040416667	0.676	0.1243430329	0	0	0	0
Gm26.4	3gene1	14	8	154.899	19.36238	41.799	36	17.632	0.4897778	1.774	20	8.848	0.245777778	1.132	0.501814882	0	0	0	0
Gm26.4	3gene1	15	4	113.035	28.25875	37.487	17	7.887	0.4639412	1.28	5	3.7	0.217647059	1.081	0.4691264105	0	0	0	0
Gm26.4	3gene1	16	4	100.479	25.11975	33.273	19	8.868	0.4667368	1.183	6	3.126	0.164526316	0.959	0.3525033829	0	0	0	0
